dzien	temperatura	prędkosc wiatru	liczba plazowiczow
1	24,3	32,8	288
2	35,0	22,2	345
3	25,7	22,3	333
4	28,6	13,6	360
5	21,4	32,2	243
6	33,1	28,8	501
7	19,3	12,7	187
8	26,8	26,0	402
9	28,9	14,8	567
10	18,2	19,9
11	18,7	29,8
12	25,3	34,0
13	30,9	19,8
14	29,9	13,8
15	27,6	21,9
16	25,2	30,3
17	18,4	23,5
18	18,7	10,3
19	25,9	15,9
20	30,7	12,2
21	24,8	21,5
22	30,7	12,5
23	33,6	33,7
24	20,0	24,0
25	34,7	27,3
26	25,7	14,7
27	22,9	33,4
28	30,3	11,0
29	33,1	16,8
30	34,7	12,6
31	20,5	29,0
32	24,7	28,5
33	33,4	13,0
34	23,4	20,1
35	33,7	22,9
36	23,8	29,5
37	32,6	14,2
38	31,8	34,1
39	15,0	12,3
40	22,1	25,5
41	30,8	32,2
42	19,7	26,2
43	29,5	17,4
44	16,2	11,1
45	17,9	13,5
46	28,6	13,2
47	34,6	23,7
48	18,4	15,0
49	18,5	12,4
50	17,8	22,5
